쓰리스타,IT,45431,최상,정지,2437714,1113770,3525645,896841,2638804,0,0
OKT,IT,23957,최상,정지,243421,11511,340612,188743,151869,-242,-1
FAKER,IT,309832,최상,하락,177743,159103,446116,217880,228235,3067,1
LB I+,IT,23320,최상,하락,123819,89442,179410,105914,73496,1727,8
넥슬라이스,IT,1928,우수,정지,9468,4204,25348,2173,23175,37,2
NO24,IT,7484,양호,상승,5330,1143,2399,1755,644,74,1
동문서답식품,식품,27304,우수,상승,15476,6327,13326,2674,10651,1300,5
공주식품,식품,1188,우수,하락,2443,722,1652,552,1100,-13,-1
오뚝이,식품,690123,최상,상승,23596,4084,21521,8056,13464,6832,1
농가의마음,식품,389593,최상,정지,23439,7179,26530,7123,19407,7639,2
청정제당,식품,376105,최상,하락,223524,42831,262806,167991,94814,-3800,-1
L0TT2 FOOD,식품,476423,최상,상승,17880,3002,13211,6136,7075,4717,1
KYA,교통,45917,최상,정지,581459,93793,553447,263666,289781,-464,-1
대현자동차,교통,84241,최상,정지,1057464,176550,1945122,1181464,763657,-851,-1
Double Dragon,교통,1500,보통,하락,36238,2675,20192,16160,4031,29,2
그모타이어,교통,2222,양호,상승,25586,3881,42147,28017,14129,22,1
목센타이어,교통,5688,우수,상승,20223,6166,34360,18781,15579,0,0
HK 타이어,교통,21288,최상,정지,68832,19221,101646,29773,71872,-1359,-6
MS 엔터테인먼트,엔터테인먼트,27870,우수,정지,6578,2156,11156,4828,6327,-282,-1
스튜디오 D,엔터테인먼트,84438,우수,정지,4686,478,5815,1533,4282,836,1
대현 HCN,엔터테인먼트,7087,최상,상승,2928,1076,8134,720,7414,70,1
스카이라이브,엔터테인먼트,13799,최상,상승,6946,4972,8482,1428,7054,136,1
JYM 엔터테인먼트,엔터테인먼트,25478,우수,상승,1554,760,2078,454,1623,1213,5
OLD,엔터테인먼트,4593,보통,정지,1491,283,3133,1914,1218,-47,-1
광서제약,제약&바이오,6852,우수,상승,12382,2586,7927,3453,4474,67,1
월동제약,제약&바이오,15643,우수,상승,5174,2323,6127,3598,2528,154,1
횡근당,제약&바이오,100305,우수,하락,10793,4042,8073,3263,4749,-6403,-6
빅베어,제약&바이오,111480,우수,하락,11134,4782,12456,6097,6359,1103,1
N.01MED,제약&바이오,48040,양호,하락,6714,1519,4015,2315,1700,1847,4
그린크로쓰,제약&바이오,146226,최상,정지,13697,3723,19593,7752,11840,0,0
스타크인더스트리,의류,17890,우수,하락,44071,11311,52931,31667,21263,-6287,-26
TNC,의류,150392,우수,하락,59831,5638,32243,26413,5829,-3070,-2
13실업,의류,12090,보통,하락,19224,4017,11794,7244,4550,-911,-7
퍼시픽,의류,2264,보통,상승,9716,1725,6133,4289,1843,-23,-1
BANYC,의류,242585,우수,상승,1705,694,6938,2595,4343,2401,1
SL산업,의류,720913,최상,상승,29180,10183,43571,8733,34838,14135,2
ThisMart,유통,121116,최상,하락,190628,48924,210947,108880,102067,0,0
배고파리테일,유통,3239,우수,하락,59460,10565,21724,15498,6225,-33,-1
신식세계,유통,193328,최상,정지,63942,32682,130184,75033,55151,15962,9
한천,유통,116775,최상,상승,16983,4735,12026,5893,6132,1156,1
빌딩신라,유통,70706,최상,정지,57173,24166,35272,26077,9195,0,0
감성리테일,유통,34610,최상,상승,90069,19240,70548,45040,25508,-2210,-6
아리아나항공,여행&항공,5753,양호,정지,69657,2770,135034,125951,9082,0,0
재주항공,여행&항공,16682,양호,하락,13839,1366,14675,11423,3251,0,0
세컨드투어,여행&항공,56362,우수,상승,7631,5755,10075,7896,2178,-20847,-27
YP리조트,여행&항공,5596,양호,하락,1294,132,8499,4541,3957,55,1
PWAY항공,여행&항공,3323,양호,하락,8104,550,8077,6188,1888,0,0
K-Air,여행&항공,20428,양호,하락,12683,15440,270141,242333,27807,202,1
소일오일,에너지&화학,78648,최상,하락,243941,10473,163334,98367,64966,-8739,-10
HanWa,에너지&화학,22664,우수,상승,504123,37530,1822861,1640222,182639,224,1
코브라,에너지&화학,3231,우수,상승,1828,241,1564,472,1091,239,8
KJ화학,에너지&화학,8114,양호,정지,1087,790,1208,274,934,0,0
삼천만큼,에너지&화학,69737,최상,정지,34616,3626,39123,25194,13929,1367,2
기여도도시가스,에너지&화학,47169,우수,하락,14218,1110,7474,4097,3377,467,1
우대건설,건설,5173,우수,상승,86518,8550,96976,72094,24882,0,0
기룡건설산업,건설,20664,양호,상승,22757,2375,20067,15040,5026,3299,19
OneWln,건설,6169,미흡,하락,16287,1774,24702,22252,2449,0,0
머림산업,건설,66437,최상,하락,97000,16575,134452,67085,67367,-672,-1
POSKO,건설,247973,우수,상승,76502,5221,66686,38497,28188,18368,8
CKK건설,건설,5328,우수,상승,16425,1220,10391,6616,3775,0,0
