쓰리스타,IT,50015,최상,정지,2437714,1113770,3525645,896841,2638804,980,2
OKT,IT,24276,최상,정지,243421,11511,340612,188743,151869,0,0
FAKER,IT,209638,최상,상승,177743,159103,446116,217880,228235,15528,8
LB I+,IT,13637,최상,하락,123819,89442,179410,105914,73496,-279,-2
넥슬라이스,IT,1788,우수,상승,9468,4204,25348,2173,23175,0,0
NO24,IT,5395,양호,상승,5330,1143,2399,1755,644,-470,-8
동문서답식품,식품,17137,우수,상승,15476,6327,13326,2674,10651,169,1
공주식품,식품,1215,우수,상승,2443,722,1652,552,1100,68,6
오뚝이,식품,539340,최상,정지,23596,4084,21521,8056,13464,5340,1
농가의마음,식품,348525,최상,상승,23439,7179,26530,7123,19407,22800,7
청정제당,식품,274150,최상,하락,223524,42831,262806,167991,94814,-23840,-8
L0TT2 FOOD,식품,388278,최상,하락,17880,3002,13211,6136,7075,21978,6
KYA,교통,26139,최상,정지,581459,93793,553447,263666,289781,-2274,-8
대현자동차,교통,91377,최상,정지,1057464,176550,1945122,1181464,763657,0,0
Double Dragon,교통,1762,보통,하락,36238,2675,20192,16160,4031,293,20
그모타이어,교통,2493,양호,상승,25586,3881,42147,28017,14129,24,1
목센타이어,교통,5824,우수,정지,20223,6166,34360,18781,15579,114,2
HK 타이어,교통,21533,최상,정지,68832,19221,101646,29773,71872,828,4
MS 엔터테인먼트,엔터테인먼트,27962,우수,정지,6578,2156,11156,4828,6327,1331,5
스튜디오 D,엔터테인먼트,76692,우수,상승,4686,478,5815,1533,4282,759,1
대현 HCN,엔터테인먼트,4354,최상,상승,2928,1076,8134,720,7414,-135,-3
스카이라이브,엔터테인먼트,8396,최상,정지,6946,4972,8482,1428,7054,-731,-8
JYM 엔터테인먼트,엔터테인먼트,21601,우수,상승,1554,760,2078,454,1623,-441,-2
OLD,엔터테인먼트,3932,보통,상승,1491,283,3133,1914,1218,222,6
광서제약,제약&바이오,6490,우수,상승,12382,2586,7927,3453,4474,480,8
월동제약,제약&바이오,14391,우수,정지,5174,2323,6127,3598,2528,941,7
횡근당,제약&바이오,108280,우수,정지,10793,4042,8073,3263,4749,-2210,-2
빅베어,제약&바이오,103989,우수,하락,11134,4782,12456,6097,6359,-1051,-1
N.01MED,제약&바이오,46302,양호,하락,6714,1519,4015,2315,1700,2620,6
그린크로쓰,제약&바이오,161349,최상,상승,13697,3723,19593,7752,11840,-14031,-8
스타크인더스트리,의류,30294,우수,정지,44071,11311,52931,31667,21263,-306,-1
TNC,의류,112413,우수,하락,59831,5638,32243,26413,5829,-21412,-16
13실업,의류,10829,보통,정지,19224,4017,11794,7244,4550,-110,-1
퍼시픽,의류,2214,보통,상승,9716,1725,6133,4289,1843,-23,-1
BANYC,의류,209416,우수,정지,1705,694,6938,2595,4343,-4274,-2
SL산업,의류,778555,최상,정지,29180,10183,43571,8733,34838,-7865,-1
ThisMart,유통,111488,최상,하락,190628,48924,210947,108880,102067,-1127,-1
배고파리테일,유통,3791,우수,하락,59460,10565,21724,15498,6225,-777,-17
신식세계,유통,242475,최상,정지,63942,32682,130184,75033,55151,-2450,-1
한천,유통,96117,최상,상승,16983,4735,12026,5893,6132,951,1
빌딩신라,유통,71190,최상,하락,57173,24166,35272,26077,9195,-720,-1
감성리테일,유통,41945,최상,상승,90069,19240,70548,45040,25508,415,1
아리아나항공,여행&항공,3813,양호,하락,69657,2770,135034,125951,9082,-39,-1
재주항공,여행&항공,16296,양호,하락,13839,1366,14675,11423,3251,-1227,-7
세컨드투어,여행&항공,39783,우수,하락,7631,5755,10075,7896,2178,393,1
YP리조트,여행&항공,4579,양호,상승,1294,132,8499,4541,3957,45,1
PWAY항공,여행&항공,3462,양호,정지,8104,550,8077,6188,1888,67,2
K-Air,여행&항공,18042,양호,상승,12683,15440,270141,242333,27807,-369,-2
소일오일,에너지&화학,64154,최상,정지,243941,10473,163334,98367,64966,-1310,-2
HanWa,에너지&화학,21020,우수,정지,504123,37530,1822861,1640222,182639,808,4
코브라,에너지&화학,3003,우수,하락,1828,241,1564,472,1091,29,1
KJ화학,에너지&화학,9854,양호,하락,1087,790,1208,274,934,-100,-1
삼천만큼,에너지&화학,74239,최상,상승,34616,3626,39123,25194,13929,6129,9
기여도도시가스,에너지&화학,39662,우수,정지,14218,1110,7474,4097,3377,777,2
우대건설,건설,3228,우수,정지,86518,8550,96976,72094,24882,-33,-1
기룡건설산업,건설,13930,양호,하락,22757,2375,20067,15040,5026,-734,-5
OneWln,건설,5596,미흡,하락,16287,1774,24702,22252,2449,-234,-4
머림산업,건설,81591,최상,정지,97000,16575,134452,67085,67367,1599,2
POSKO,건설,197121,우수,하락,76502,5221,66686,38497,28188,14601,8
CKK건설,건설,5565,우수,상승,16425,1220,10391,6616,3775,-293,-5
